state,year,mean_ndvi
Dadra and Nagar Haveli,2007,0.4929
Daman and Diu,2007,0.4694
Puducherry,2007,0.5297
Bihar,2008,0.4681
Chhattisgarh,2008,0.5077
Jharkhand,2008,0.4718
Madhya Pradesh,2008,0.4319
Uttar Pradesh,2008,0.4515
Uttarakhand,2008,0.4921
Andaman and Nicobar,2008,0.7896
Andhra Pradesh,2008,0.4762
Assam,2008,0.6026
Delhi,2008,0.3454
Goa,2008,0.6357
Gujarat,2008,0.3711
Haryana,2008,0.453
Himachal Pradesh,2008,0.3459
Karnataka,2008,0.4669
Kerala,2008,0.7299
Lakshadweep,2008,0.6175
Maharashtra,2008,0.4255
Manipur,2008,0.7251
Meghalaya,2008,0.7165
Mizoram,2008,0.7711
Nagaland,2008,0.7637
Orissa,2008,0.5218
Punjab,2008,0.5202
Rajasthan,2008,0.2628
Sikkim,2008,0.4256
Tamil Nadu,2008,0.5202
Tripura,2008,0.6987
West Bengal,2008,0.5104
Arunachal Pradesh,2008,0.7511
Chandigarh,2008,0.406
Dadra and Nagar Haveli,2008,0.4636
Daman and Diu,2008,0.4714
Puducherry,2008,0.5537
Bihar,2009,0.4622
Chhattisgarh,2009,0.4947
Jharkhand,2009,0.4619
Madhya Pradesh,2009,0.4377
Uttar Pradesh,2009,0.4466
Uttarakhand,2009,0.484
Andaman and Nicobar,2009,0.7869
Andhra Pradesh,2009,0.4469
Assam,2009,0.5894
Delhi,2009,0.3278
Goa,2009,0.6286
Gujarat,2009,0.3588
Haryana,2009,0.4419
Himachal Pradesh,2009,0.34
Karnataka,2009,0.4687
Kerala,2009,0.7238
Lakshadweep,2009,0.5953
Maharashtra,2009,0.435
Manipur,2009,0.726
Meghalaya,2009,0.7092
Mizoram,2009,0.758
Nagaland,2009,0.7387
Orissa,2009,0.5081
Punjab,2009,0.5112
Rajasthan,2009,0.2448
Sikkim,2009,0.4334
Tamil Nadu,2009,0.487
Tripura,2009,0.6866
West Bengal,2009,0.5065
Arunachal Pradesh,2009,0.7387
Chandigarh,2009,0.397
Dadra and Nagar Haveli,2009,0.4687
Daman and Diu,2009,0.4454
Puducherry,2009,0.5391
Bihar,2010,0.4662
Chhattisgarh,2010,0.5157
Jharkhand,2010,0.4688
Madhya Pradesh,2010,0.4575
Uttar Pradesh,2010,0.4634
Uttarakhand,2010,0.4925
Andaman and Nicobar,2010,0.7883
Andhra Pradesh,2010,0.4952
Assam,2010,0.5867
Delhi,2010,0.3418
Goa,2010,0.6399
Gujarat,2010,0.3836
Haryana,2010,0.4677
Himachal Pradesh,2010,0.353
Karnataka,2010,0.5006
Kerala,2010,0.7353
Lakshadweep,2010,0.6349
Maharashtra,2010,0.4713
Manipur,2010,0.7211
Meghalaya,2010,0.7031
Mizoram,2010,0.7645
Nagaland,2010,0.7273
Orissa,2010,0.5374
Punjab,2010,0.5383
Rajasthan,2010,0.2812
Sikkim,2010,0.4564
Tamil Nadu,2010,0.5188
Tripura,2010,0.6865
West Bengal,2010,0.5096
Arunachal Pradesh,2010,0.7115
Chandigarh,2010,0.4181
Dadra and Nagar Haveli,2010,0.5144
Daman and Diu,2010,0.4681
Puducherry,2010,0.568
Bihar,2011,0.4801
Chhattisgarh,2011,0.5267
Jharkhand,2011,0.4854
Madhya Pradesh,2011,0.4528
Uttar Pradesh,2011,0.4808
Uttarakhand,2011,0.4974
Andaman and Nicobar,2011,0.7877
Andhra Pradesh,2011,0.4876
Assam,2011,0.6037
Delhi,2011,0.3596
Goa,2011,0.6292
Gujarat,2011,0.3987
Haryana,2011,0.4812
Himachal Pradesh,2011,0.3575
Karnataka,2011,0.4787
Kerala,2011,0.727
Lakshadweep,2011,0.5813
Maharashtra,2011,0.4574
Manipur,2011,0.7342
Meghalaya,2011,0.7178
Mizoram,2011,0.7883
Nagaland,2011,0.75
Orissa,2011,0.5477
Punjab,2011,0.5437
Rajasthan,2011,0.3124
Sikkim,2011,0.4308
Tamil Nadu,2011,0.5251
Tripura,2011,0.6974
West Bengal,2011,0.5218
Arunachal Pradesh,2011,0.762
Chandigarh,2011,0.4219
Dadra and Nagar Haveli,2011,0.4756
Daman and Diu,2011,0.4822
Puducherry,2011,0.5579
Bihar,2012,0.478
Chhattisgarh,2012,0.5081
Jharkhand,2012,0.4841
Madhya Pradesh,2012,0.4403
Uttar Pradesh,2012,0.4655
